macro_nightlights_mean_shap,macro_economic_employees_shap,macro_literacy_rate_shap,macro_population_shap,macro_economic_establishments_shap,chronic_diabetes_prevalence_shap,chronic_hypertension_prevalence_shap,state_name,district_name
1.7694181,-5.438797,-0.2239961,-24.24831,-2.1336305,11.509121,5.131729,RAJASTHAN,JAISALMER
7.8840804,1.8318778,0.27871442,26.05098,-1.2397649,20.570332,5.886613,RAJASTHAN,BARMER
4.7935543,1.9060546,-0.24645883,0.5974905,-2.9870753,13.977327,4.758259,RAJASTHAN,JALOR
1.5866454,-0.99885285,0.13415657,-18.83293,-2.5216625,12.044383,5.0225224,RAJASTHAN,SIROHI
5.7898946,3.7633607,0.22058204,12.61733,1.3223376,18.54956,6.286292,RAJASTHAN,PALI
-0.7421176,10.13891,-0.37002856,20.132786,0.31265765,22.982338,6.3221097,RAJASTHAN,AJMER
4.4249988,2.8466778,-1.9432342,-6.5805354,-2.857311,13.665066,5.1633625,RAJASTHAN,TONK
0.94346863,2.4399579,-1.7874601,-17.030771,-2.2059526,12.526938,4.910341,RAJASTHAN,BUNDI
2.6896243,5.25338,-0.92977387,13.666999,-0.17359892,20.530605,6.906408,RAJASTHAN,BHILWARA
-0.41908547,3.5840583,0.057145275,-15.585087,-2.1035304,12.836876,4.594406,RAJASTHAN,RAJSAMAND
1.78793,-4.0427976,-0.59980404,-6.945273,-1.0356302,13.406282,5.0638266,RAJASTHAN,DUNGARPUR
0.58099717,0.54536545,0.305539,5.194394,-2.2896948,13.880134,4.0759397,RAJASTHAN,BANSWARA
0.19983536,3.9977684,0.0059501957,-5.488548,-1.9504567,14.724988,4.6352587,RAJASTHAN,CHITTAURGARH
-3.9407134,3.5574007,1.3626621,-1.8630022,0.7590208,16.2821,5.3205338,RAJASTHAN,KOTA
-0.29676485,1.8674252,-0.71499336,-15.281304,-2.0709012,12.467181,4.5476503,RAJASTHAN,BARAN
0.16866127,2.7376733,-1.7151818,-5.9082246,-2.293485,13.812353,4.5716386,RAJASTHAN,JHALAWAR
3.3036108,5.2050586,-0.15835655,32.651966,1.4158915,27.088564,6.9006763,RAJASTHAN,UDAIPUR
2.8758442,-4.868718,-0.1271899,-23.0662,-1.5941705,11.783323,5.39996,RAJASTHAN,PRATAPGARH
-1.4667443,7.543656,0.6393583,30.74722,0.92066157,-8.106984,-3.0863957,UTTAR PRADESH,SAHARANPUR
-2.8406506,2.0920255,-1.1012778,31.314676,0.3673049,-7.8949375,-3.3433654,UTTAR PRADESH,MUZAFFARNAGAR
-1.3736802,3.666941,-0.7275541,26.35121,0.24828357,-8.090734,-3.211001,UTTAR PRADESH,BIJNOR
-0.8026831,3.5522776,-2.5126958,40.901535,-2.1869414,-8.014505,-3.8377013,UTTAR PRADESH,MORADABAD
-5.0721617,1.6625803,-0.74856335,8.039017,-3.5066535,-6.0233135,-5.7549286,UTTAR PRADESH,RAMPUR
-5.030802,2.6618578,-0.37894663,0.12458514,-1.6795161,-4.684301,-4.9779935,UTTAR PRADESH,JYOTIBA PHULE NAGAR
-3.4463675,6.537931,1.1113544,29.001406,-1.3148124,-8.117564,-3.3830235,UTTAR PRADESH,MEERUT
-1.0485817,-3.3925776,0.84110236,-12.443976,-1.7814339,-3.5245435,-2.740378,UTTAR PRADESH,BAGHPAT
-2.0964675,2.7967126,0.51045036,42.627583,-2.3393142,-7.2861924,-3.5375354,UTTAR PRADESH,GHAZIABAD
-5.3478374,8.673285,2.7299237,-4.1872964,-3.7897635,-4.0728736,-4.513699,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
-0.67275923,2.0782833,-0.09817647,31.514349,-1.3000821,-7.809729,-3.4018435,UTTAR PRADESH,BULANDSHAHR
-0.75340253,1.8519288,-0.35780117,29.453989,-1.0952299,-7.9039907,-3.3785825,UTTAR PRADESH,ALIGARH
-2.6779866,4.891532,-0.17894714,-4.2708015,-2.528178,-4.3373833,-3.632469,UTTAR PRADESH,MAHAMAYA NAGAR
-2.6863341,1.7189338,-0.41927916,14.9546795,-2.8900757,-5.095968,-4.632962,UTTAR PRADESH,MATHURA
-1.0234293,4.526219,0.87388366,41.342983,-0.56863344,-7.585403,-2.5074892,UTTAR PRADESH,AGRA
-1.2404354,3.0132608,1.107958,14.35038,5.5185733,-5.7609253,-4.452171,UTTAR PRADESH,FIROZABAD
-3.909884,-1.3745785,0.59848213,0.89363956,-1.8266898,-4.084422,-4.0763917,UTTAR PRADESH,MAINPURI
-1.7821643,1.9010189,-0.7278309,25.951004,-1.774258,-7.952825,-4.1478534,UTTAR PRADESH,BUDAUN
-0.4872782,3.0731242,-3.6992252,40.95236,0.80427486,-7.809246,-3.2220485,UTTAR PRADESH,BAREILLY
5.2226086,2.0544326,-3.200539,-0.13922144,3.8400698,-4.979296,-4.4698606,UTTAR PRADESH,PILIBHIT
-3.97423,2.5981057,-1.9308916,18.224983,4.6304717,-6.326539,-5.3091407,UTTAR PRADESH,SHAHJAHANPUR
0.71640456,1.3950355,-1.3765435,25.08907,4.1121826,-6.659588,-3.8265142,UTTAR PRADESH,KHERI
-3.2100465,2.3598309,-1.5384476,39.502605,-0.97413635,-7.5828495,-2.8461733,UTTAR PRADESH,SITAPUR
-0.91697586,2.44122,-0.39278427,27.767494,-0.32619327,-7.202891,-3.5123034,UTTAR PRADESH,HARDOI
-3.9130776,0.8276353,-0.8313177,28.622377,-3.4499955,-5.6011095,-3.9420412,UTTAR PRADESH,UNNAO
-1.0737587,3.9409137,2.7657695,47.27634,2.0436444,-6.9861984,-3.3548863,UTTAR PRADESH,LUCKNOW
-4.6777644,1.1154608,-0.581735,28.975664,1.1383802,-6.6382813,-4.0781846,UTTAR PRADESH,RAE BARELI
-3.1195424,1.6365514,-1.0270265,0.5624744,-1.5051279,-4.250636,-4.8312654,UTTAR PRADESH,FARRUKHABAD
-4.101899,1.2124566,0.993898,-2.8703737,-0.77041143,-4.027168,-3.4824638,UTTAR PRADESH,KANNAUJ
-2.0639443,1.4766538,1.6994057,-3.5039406,-0.87414396,-3.8696651,-3.7887492,UTTAR PRADESH,ETAWAH
-1.806698,-3.988698,1.7777829,-6.0018506,-1.8398042,-3.8295584,-3.4836924,UTTAR PRADESH,AURAIYA
-3.3253934,-1.5703577,0.8705582,4.6293054,-2.4811933,-4.0062904,-4.2654066,UTTAR PRADESH,KANPUR DEHAT
-3.4130964,3.9887972,-0.4615156,47.6196,-1.007164,-6.9759784,-2.3524342,UTTAR PRADESH,KANPUR NAGAR
2.5836682,2.091965,0.9006243,-2.2571576,-0.67733,-4.0571203,-3.0731087,UTTAR PRADESH,JALAUN
