state_name,district_name,data_completeness_score,data_confidence_tier,macro_population,macro_literacy_rate,macro_economic_establishments,macro_economic_employees,macro_nightlights_mean,chronic_diabetes_prevalence,chronic_hypertension_prevalence,chronic_cancer_incidence_aar,infra_hospitals_count,infra_phc_chc_count,infra_pmbjp_kendra_count,climate_rainfall_annual_mm,climate_rainfall_volatility,climate_rainfall_deviation_pct
TAMIL NADU,THE NILGIRIS,92.85714285714286,HIGH,22.65625,92.8125,29.531249999999996,33.59375,23.125,95.859375,76.015625,78.125,87.734375,38.125,37.5,82.8125,68.28125,99.53125
TAMIL NADU,DINDIGUL,92.85714285714286,HIGH,67.03125,70.15625,76.5625,79.53125,42.65625,95.859375,76.015625,42.65625,98.75,76.328125,79.921875,46.25,10.46875,89.53125
TAMIL NADU,KARUR,92.85714285714286,HIGH,33.125,68.75,31.71875,44.21875,60.62499999999999,95.859375,76.015625,75.3125,93.75,38.125,55.00000000000001,11.09375,6.5625,94.6875
TAMIL NADU,TIRUCHIRAPPALLI,92.85714285714286,HIGH,77.34375,87.5,80.9375,83.4375,75.15625,95.859375,76.015625,31.71875,97.421875,84.140625,92.03125,18.28125,7.5,88.28125
TAMIL NADU,PERAMBALUR,92.85714285714286,HIGH,16.5625,63.59375000000001,17.8125,16.5625,54.21875000000001,95.859375,76.015625,80.625,77.96875,23.359375,32.578125,37.1875,9.0625,90.46875
TAMIL NADU,ARIYALUR,85.71428571428571,MEDIUM,23.4375,54.6875,22.34375,21.5625,66.5625,95.859375,76.015625,74.84375,62.890625,41.171875,29.453125000000004,42.03125,9.375,81.71875
TAMIL NADU,CUDDALORE,92.85714285714286,HIGH,75.625,72.65625,77.03125,78.28125,80.78125,95.859375,76.015625,32.8125,97.421875,75.234375,76.796875,50.0,14.0625,68.28125
TAMIL NADU,NAGAPATTINAM,92.85714285714286,HIGH,51.71875,88.125,51.5625,50.625,75.9375,95.859375,76.015625,46.71875,91.171875,19.609375,65.0,46.40625,19.0625,66.40625
TAMIL NADU,THIRUVARUR,92.85714285714286,HIGH,40.625,87.1875,47.65625,36.5625,59.68750000000001,95.859375,76.015625,48.59375,95.234375,53.82812500000001,73.125,55.00000000000001,12.03125,78.28125
TAMIL NADU,THANJAVUR,92.85714285714286,HIGH,71.25,86.40625,76.09375,81.25,76.40625,95.859375,76.015625,42.5,99.53125,79.375,89.296875,52.96875,11.25,80.15625
TAMIL NADU,PUDUKKOTTAI,92.85714285714286,HIGH,51.87500000000001,70.3125,51.24999999999999,55.3125,48.28125,95.859375,76.015625,50.625,99.296875,78.125,70.078125,23.4375,7.03125,85.0
TAMIL NADU,SIVAGANGA,92.85714285714286,HIGH,43.59375,78.90625,40.78125,43.59375,31.874999999999996,95.859375,76.015625,57.34375000000001,100.0,56.32812499999999,59.53125,27.65625,7.968749999999999,85.46875
TAMIL NADU,MADURAI,92.85714285714286,HIGH,81.5625,87.03125,84.53125,85.9375,71.71875,95.859375,76.015625,27.500000000000004,93.75,86.171875,92.8125,40.625,12.812499999999998,92.34375
TAMIL NADU,THENI,92.85714285714286,HIGH,40.0,73.125,54.84375,56.875,29.6875,95.859375,76.015625,60.9375,91.171875,43.515625,68.125,52.1875,27.968749999999996,97.5
