source,state,district
PMBJP,TRIPURA,UNAKOTI
PMBJP,UTTAR PRADESH,AYODHYA
PMBJP,UTTAR PRADESH,HAPUR
PMBJP,UTTAR PRADESH,SANT KABIR
PMBJP,UTTAR PRADESH,HATHRAS
PMBJP,UTTAR PRADESH,SAMBHAL
PMBJP,UTTAR PRADESH,BHADOHI
PMBJP,UTTAR PRADESH,KASGANJ
PMBJP,UTTAR PRADESH,GAUTAM
PMBJP,UTTAR PRADESH,AMETHI
PMBJP,UTTAR PRADESH,PRAYAGRAJ
PMBJP,UTTAR PRADESH,SHAMLI
PMBJP,UTTAR PRADESH,AMROHA
PMBJP,UTTARAKHAND,PAURI GARHWAL
PMBJP,UTTARAKHAND,UTTAR KASHI
PMBJP,UTTARAKHAND,RUDRA PRAYAG
PMBJP,WEST BENGAL,HOOGHLY
PMBJP,WEST BENGAL,PURBA BARDHAMAN
PMBJP,WEST BENGAL,NORTH 24
PMBJP,WEST BENGAL,NORTH 24 PARGANAS
PMBJP,WEST BENGAL,PURBA
PMBJP,WEST BENGAL,COOCH BEHAR
PMBJP,WEST BENGAL,ALIPURDUAR
PMBJP,WEST BENGAL,SOUTH 24
PMBJP,WEST BENGAL,PASCHIM
PMBJP,WEST BENGAL,PASCHIM BARDHAMAN
PMBJP,WEST BENGAL,HOWRAH
PMBJP,WEST BENGAL,KALIMPONG
PMBJP,WEST BENGAL,SOUTH 24 PARGANAS
PMBJP,WEST BENGAL,JHARGRAM
